dt,LandAverageTemperature,LandAverageTemperatureUncertainty
01/06/1779,,
01/07/1779,16.383,1.276
01/08/1779,15.92,1.418
01/09/1779,12.463,1.393
01/10/1779,,
01/11/1779,4.87,1.423
01/12/1779,2.316,1.44
01/01/1780,2.059,1.335
01/02/1780,,
01/03/1780,5.083,1.344
01/04/1780,,
01/05/1780,12.468,1.274
01/06/1780,15.095,1.453
01/07/1780,,
01/08/1780,15.762,1.338
01/09/1780,12.642,1.43
01/10/1780,8.5,1.4
01/11/1780,4.868,1.414
01/12/1780,2.503,1.277
01/01/1781,2.006,1.384
01/02/1781,2.994,1.451
01/03/1781,,
01/04/1781,8.793,1.472
01/05/1781,12.435,1.416
01/06/1781,,
01/07/1781,,
01/08/1781,,
01/09/1781,12.641,1.345
01/10/1781,8.66,1.333
01/11/1781,,
01/12/1781,2.39,1.279
01/01/1782,2.101,1.395
01/02/1782,2.76,1.341
01/03/1782,5.247,1.337
01/04/1782,8.886,1.4
01/05/1782,12.427,1.329
01/06/1782,15.114,1.232
01/07/1782,16.261,1.294
01/08/1782,15.909,1.232
01/09/1782,12.698,1.406
01/10/1782,8.85,1.438
01/11/1782,,
01/12/1782,2.65,1.46
01/01/1783,2.008,1.397
01/02/1783,,
01/03/1783,5.149,1.375
01/04/1783,,
01/05/1783,12.497,1.367
01/06/1783,15.073,1.319
01/07/1783,16.19,1.262
01/08/1783,15.938,1.249
01/09/1783,12.739,1.402
01/10/1783,8.685,1.424
01/11/1783,4.995,1.371
01/12/1783,2.61,1.384
01/01/1784,2.169,1.399
01/02/1784,2.71,1.322
01/03/1784,5.092,1.366
01/04/1784,8.882,1.367
01/05/1784,12.567,1.286
01/06/1784,15.203,1.224
01/07/1784,16.2,1.224
01/08/1784,15.971,1.229
01/09/1784,12.751,1.337
01/10/1784,8.618,1.349
01/11/1784,5.053,1.412
01/12/1784,2.469,1.29
01/01/1785,2.176,1.226
01/02/1785,2.886,1.286
01/03/1785,5.177,1.262
01/04/1785,8.949,1.31
01/05/1785,12.514,1.271
01/06/1785,15.248,1.285
01/07/1785,,
01/08/1785,15.683,1.37
01/09/1785,12.622,1.427
01/10/1785,8.578,1.283
01/11/1785,5.021,1.442
01/12/1785,2.637,1.298
01/01/1786,2.248,1.284
01/02/1786,2.814,1.393
01/03/1786,5.346,1.361
01/04/1786,8.78,1.352
01/05/1786,12.379,1.235
01/06/1786,15.24,1.427
01/07/1786,16.262,1.209
01/08/1786,15.917,1.215
01/09/1786,12.78,1.199
01/10/1786,,
01/11/1786,4.902,1.398
01/12/1786,2.603,1.392
01/01/1787,2.041,1.349
01/02/1787,2.902,1.291
01/03/1787,5.253,1.314
01/04/1787,8.824,1.382
01/05/1787,12.513,1.417
01/06/1787,15.056,1.295
01/07/1787,16.146,1.422
01/08/1787,,
01/09/1787,12.655,1.399
01/10/1787,8.926,1.206
01/11/1787,5.013,1.371
01/12/1787,,
01/01/1788,1.888,1.226
01/02/1788,,
01/03/1788,5.39,1.229
01/04/1788,,
01/05/1788,12.665,1.332
01/06/1788,15.06,1.204
01/07/1788,16.346,1.205
01/08/1788,,
01/09/1788,12.738,1.379
01/10/1788,8.801,1.352
01/11/1788,,
01/12/1788,2.62,1.275
01/01/1789,2.102,1.386
01/02/1789,2.874,1.164
01/03/1789,5.262,1.267
01/04/1789,9.025,1.22
01/05/1789,,
01/06/1789,15.115,1.292
01/07/1789,16.411,1.258
01/08/1789,15.847,1.319
01/09/1789,12.658,1.357
01/10/1789,8.78,1.343
01/11/1789,,
01/12/1789,2.365,1.297
01/01/1790,2.255,1.266
01/02/1790,3.046,1.308
01/03/1790,5.452,1.264
01/04/1790,9.041,1.161
01/05/1790,12.73,1.279
01/06/1790,15.233,1.286
01/07/1790,16.262,1.239
01/08/1790,15.782,1.366
01/09/1790,12.742,1.372
01/10/1790,8.842,1.374
01/11/1790,5.099,1.274
01/12/1790,2.537,1.28
01/01/1791,2.155,1.291
01/02/1791,2.814,1.276
01/03/1791,5.417,1.217
01/04/1791,9.048,1.247
01/05/1791,12.441,1.358
01/06/1791,15.191,1.39
01/07/1791,16.552,1.159
01/08/1791,15.826,1.231
01/09/1791,12.535,1.176
01/10/1791,,
01/11/1791,5.152,1.232
01/12/1791,2.648,1.282
01/01/1792,2.038,1.223
01/02/1792,2.6,1.273
01/03/1792,,
01/04/1792,9.068,1.314
01/05/1792,12.348,1.195
01/06/1792,15.265,1.242
01/07/1792,,
01/08/1792,16.125,1.343
01/09/1792,12.769,1.152
01/10/1792,8.687,1.341
01/11/1792,4.939,1.266
01/12/1792,2.6,1.343
01/01/1793,2.32,1.318
01/02/1793,2.791,1.15
01/03/1793,5.403,1.127
01/04/1793,9.129,1.212
01/05/1793,12.31,1.142
01/06/1793,15.114,1.37
01/07/1793,,
01/08/1793,15.833,1.363
01/09/1793,12.494,1.206
01/10/1793,8.822,1.315
01/11/1793,5.096,1.228
01/12/1793,,
01/01/1794,2.21,1.191
01/02/1794,2.927,1.197
01/03/1794,5.452,1.173
01/04/1794,,
01/05/1794,12.42,1.236
01/06/1794,15.309,1.345
01/07/1794,16.164,1.261
01/08/1794,15.707,1.251
01/09/1794,12.704,1.27
01/10/1794,8.775,1.273
01/11/1794,4.82,1.235
01/12/1794,2.654,1.182
01/01/1795,1.955,1.271
01/02/1795,,
01/03/1795,5.142,1.151
01/04/1795,9.022,1.178
01/05/1795,,
01/06/1795,14.933,1.193
01/07/1795,16.214,1.167
01/08/1795,15.993,1.124
01/09/1795,12.547,1.162
01/10/1795,8.881,1.14
01/11/1795,4.879,1.291
01/12/1795,2.522,1.229
01/01/1796,2.163,1.326
01/02/1796,2.897,1.332
01/03/1796,5.249,1.214
01/04/1796,9.003,1.254
01/05/1796,12.246,1.198
01/06/1796,15.119,1.272
01/07/1796,16.192,1.233
01/08/1796,,
01/09/1796,12.469,1.16
01/10/1796,,
01/11/1796,5.091,1.289
01/12/1796,2.554,1.325
01/01/1797,,
01/02/1797,3.01,1.114
01/03/1797,5.144,1.232
01/04/1797,8.996,1.162
01/05/1797,12.666,1.265
01/06/1797,15.487,1.164
01/07/1797,16.09,1.155
01/08/1797,15.837,1.172
01/09/1797,12.832,1.279
01/10/1797,,
01/11/1797,4.665,1.276
01/12/1797,2.624,1.224
01/01/1798,2.113,1.227
01/02/1798,,
01/03/1798,,
01/04/1798,8.949,1.075
01/05/1798,12.583,1.173
01/06/1798,15.326,1.3
01/07/1798,16.273,1.105
01/08/1798,15.834,1.151
01/09/1798,12.574,1.113
01/10/1798,8.76,1.156
01/11/1798,5.003,1.231
01/12/1798,2.387,1.223
01/01/1799,2.182,1.116
01/02/1799,3.032,1.134
01/03/1799,5.328,1.139
01/04/1799,9.16,1.293
01/05/1799,12.47,1.229
01/06/1799,15.239,1.305
01/07/1799,16.487,1.133
01/08/1799,15.818,1.239
01/09/1799,12.592,1.18
01/10/1799,8.811,1.195
01/11/1799,4.957,1.214
01/12/1799,2.517,1.121
01/01/1800,2.013,1.063
01/02/1800,2.848,1.153
01/03/1800,5.27,1.243
01/04/1800,8.927,1.051
01/05/1800,12.218,1.152
01/06/1800,15.095,1.284
01/07/1800,16.38,1.1
01/08/1800,15.786,1.291
01/09/1800,12.606,1.277
01/10/1800,8.937,1.072
01/11/1800,4.848,1.231
01/12/1800,2.514,1.284
01/01/1801,2.247,1.261
01/02/1801,2.844,1.084
01/03/1801,5.643,1.139
01/04/1801,8.784,1.164
01/05/1801,12.766,1.272
01/06/1801,15.064,1.259
01/07/1801,16.438,1.067
01/08/1801,15.892,1.286
01/09/1801,12.605,1.176
01/10/1801,9.135,1.163
01/11/1801,5.2,1.157
01/12/1801,2.495,1.088
01/01/1802,2.239,1.145
01/02/1802,2.932,1.094
01/03/1802,5.362,1.228
01/04/1802,9.166,1.172
01/05/1802,12.488,1.244
01/06/1802,15.111,1.254
01/07/1802,16.352,1.052
01/08/1802,15.757,1.197
01/09/1802,12.711,1.111
01/10/1802,8.846,1.092
01/11/1802,4.979,1.218
01/12/1802,2.673,1.269
01/01/1803,2.126,1.023
01/02/1803,3.069,1.183
01/03/1803,5.272,1.05
01/04/1803,8.947,1.097
01/05/1803,12.37,1.244
01/06/1803,15.267,1.196
01/07/1803,16.265,1.249
01/08/1803,15.943,1.094
01/09/1803,12.624,1.053
01/10/1803,8.732,1.058
01/11/1803,4.985,1.124
01/12/1803,2.423,1.157
01/01/1804,2.043,1.176
01/02/1804,2.917,1.065
01/03/1804,5.293,1.228
01/04/1804,9.191,1.03
01/05/1804,12.313,1.03
01/06/1804,15.251,1.151
01/07/1804,16.429,1.136
01/08/1804,15.947,1.153
01/09/1804,12.752,1.14
01/10/1804,8.876,1.039
01/11/1804,5.033,1.033
01/12/1804,2.742,1.138
01/01/1805,2.239,1.128
01/02/1805,2.768,1.114
01/03/1805,5.416,1.202
01/04/1805,9.039,1.181
01/05/1805,12.316,1.186
01/06/1805,15.326,1.145
01/07/1805,16.397,1.016
01/08/1805,15.922,1.249
01/09/1805,12.733,1.233
01/10/1805,8.773,1.008
01/11/1805,4.819,1.191
01/12/1805,2.703,1.245
01/01/1806,2.117,1.238
01/02/1806,2.794,1.086
01/03/1806,5.472,1.084
01/04/1806,8.803,1.161
01/05/1806,12.415,1.153
01/06/1806,15.067,1.077
01/07/1806,16.358,1.122
01/08/1806,16.028,1.172
01/09/1806,12.695,0.996
01/10/1806,8.804,1.065
01/11/1806,4.924,1.123
01/12/1806,2.46,1.196
01/01/1807,2.198,1.049
01/02/1807,3.006,1.214
01/03/1807,5.287,1.182
01/04/1807,8.938,1.085
01/05/1807,12.521,0.984
01/06/1807,14.948,1.032
01/07/1807,16.321,1.129
01/08/1807,15.914,1.156
01/09/1807,12.884,1.081
01/10/1807,8.855,1.039
01/11/1807,5.045,0.994
01/12/1807,2.83,1.106
01/01/1808,2.144,1.153
01/02/1808,3.112,1.05
01/03/1808,5.152,1.05
01/04/1808,8.895,1.045
01/05/1808,12.608,1.025
01/06/1808,15.336,1.045
01/07/1808,16.569,1.19
01/08/1808,16.007,1.198
01/09/1808,12.609,1.094
01/10/1808,8.708,1.213
01/11/1808,5.165,1.166
01/12/1808,2.534,1.05
01/01/1809,2.141,1.054
01/02/1809,2.934,1.149
01/03/1809,5.07,1.035
01/04/1809,9.039,1.137
01/05/1809,12.592,1.101
01/06/1809,14.95,1.202
01/07/1809,16.24,1.021
01/08/1809,15.878,1.011
01/09/1809,12.536,1.172
01/10/1809,8.584,0.983
01/11/1809,4.988,1.027
01/12/1809,2.523,1.128
01/01/1810,2.008,0.997
01/02/1810,2.755,1.14
01/03/1810,5.278,1.07
01/04/1810,8.851,1.167
01/05/1810,12.353,0.954
01/06/1810,15.464,1.184
01/07/1810,16.361,1.2
01/08/1810,15.888,1.07
01/09/1810,12.71,1.001
01/10/1810,8.966,1.179
01/11/1810,4.806,1.045
01/12/1810,2.536,1.083
01/01/1811,2.145,1.068
01/02/1811,2.977,1.064
01/03/1811,5.58,1.057
01/04/1811,9.201,1.15
01/05/1811,12.604,1.043
01/06/1811,15.145,1.081
01/07/1811,16.317,1.005
01/08/1811,15.971,1.174
01/09/1811,12.595,0.978
01/10/1811,8.745,1.022
01/11/1811,4.839,1.065
01/12/1811,2.76,1.104
01/01/1812,2.17,1.135
01/02/1812,2.822,1.172
01/03/1812,5.219,0.972
01/04/1812,8.899,1.129
01/05/1812,12.6,1.052
01/06/1812,15.374,1.159
01/07/1812,16.141,0.945
01/08/1812,15.862,0.938
01/09/1812,12.872,1.097
01/10/1812,8.569,1.121
01/11/1812,4.81,0.988
01/12/1812,2.728,1.107
01/01/1813,2.351,1.013
01/02/1813,2.917,1.074
01/03/1813,5.226,1.041
01/04/1813,8.865,1.042
01/05/1813,12.661,0.923
01/06/1813,15.215,1.052
01/07/1813,16.258,0.924
01/08/1813,16.236,1.123
01/09/1813,12.609,1.147
01/10/1813,8.616,0.947
01/11/1813,5.065,0.968
01/12/1813,2.648,1.052
01/01/1814,2.249,1.009
01/02/1814,2.825,1.003
01/03/1814,5.183,1.158
01/04/1814,9.098,0.966
01/05/1814,12.418,1.073
01/06/1814,14.998,1.125
01/07/1814,16.315,1.005
01/08/1814,15.858,1.048
01/09/1814,12.727,0.953
01/10/1814,8.817,1.035
01/11/1814,4.819,1.051
01/12/1814,2.696,1.124
01/01/1815,2.335,0.911
01/02/1815,2.997,0.953
01/03/1815,5.483,1.019
01/04/1815,8.829,0.912
01/05/1815,12.758,1.125
01/06/1815,15.337,1.041
01/07/1815,16.584,0.979
01/08/1815,15.97,1.14
01/09/1815,12.542,1.078
01/10/1815,8.709,1.0
01/11/1815,5.077,0.96
01/12/1815,2.647,1.109
01/01/1816,2.02,0.973
01/02/1816,3.08,1.079
01/03/1816,5.545,1.071
01/04/1816,9.292,1.015
01/05/1816,12.555,0.999
01/06/1816,15.21,1.1
01/07/1816,16.205,1.129
01/08/1816,16.089,0.989
01/09/1816,12.72,0.958
01/10/1816,8.787,1.138
01/11/1816,4.904,1.125
01/12/1816,2.623,0.998
01/01/1817,2.143,0.901
01/02/1817,2.759,1.035
01/03/1817,5.375,0.901
01/04/1817,8.837,0.919
01/05/1817,12.478,1.065
01/06/1817,15.053,0.959
01/07/1817,16.328,0.957
01/08/1817,15.926,0.97
01/09/1817,12.71,0.927
01/10/1817,8.882,0.992
01/11/1817,4.903,0.887
01/12/1817,2.577,0.968
01/01/1818,2.356,0.951
01/02/1818,3.01,0.966
01/03/1818,5.29,0.891
01/04/1818,9.135,1.095
01/05/1818,12.795,1.013
01/06/1818,15.034,0.912
01/07/1818,16.273,0.945
01/08/1818,15.965,0.993
01/09/1818,12.839,0.975
01/10/1818,8.87,0.991
01/11/1818,5.101,0.932
01/12/1818,2.663,1.026
01/01/1819,2.157,0.887
01/02/1819,2.879,0.936
01/03/1819,5.425,1.015
01/04/1819,8.989,1.061
01/05/1819,12.471,1.064
01/06/1819,15.318,1.075
01/07/1819,16.387,0.94
01/08/1819,15.912,1.097
01/09/1819,12.755,1.101
01/10/1819,8.922,1.102
01/11/1819,4.975,0.983
01/12/1819,2.802,1.004
01/01/1820,2.231,1.054
01/02/1820,3.042,0.948
01/03/1820,5.442,0.998
01/04/1820,9.127,0.986
01/05/1820,12.462,1.088
01/06/1820,15.087,0.965
01/07/1820,16.292,0.923
01/08/1820,15.801,1.023
01/09/1820,12.815,0.952
01/10/1820,8.631,0.975
01/11/1820,4.965,1.015
01/12/1820,2.559,1.029
01/01/1821,2.239,1.088
01/02/1821,2.882,0.96
01/03/1821,5.212,1.07
01/04/1821,9.111,1.013
01/05/1821,12.323,0.93
01/06/1821,15.17,1.064
01/07/1821,16.161,0.861
01/08/1821,15.888,1.032
01/09/1821,12.666,1.002
01/10/1821,8.734,0.851
01/11/1821,5.207,0.94
01/12/1821,2.609,1.028
01/01/1822,2.354,0.833
01/02/1822,2.903,0.895
01/03/1822,5.185,0.975
01/04/1822,9.02,0.974
01/05/1822,12.417,1.023
01/06/1822,15.27,0.977
01/07/1822,16.219,0.836
01/08/1822,15.93,0.856
01/09/1822,12.465,0.859
01/10/1822,8.984,1.065
01/11/1822,5.095,0.944
01/12/1822,2.711,0.882
01/01/1823,2.097,0.93
01/02/1823,2.947,0.994
01/03/1823,5.29,1.023
01/04/1823,9.124,0.849
01/05/1823,12.633,0.989
01/06/1823,15.091,0.861
01/07/1823,16.421,0.864
01/08/1823,15.923,0.86
01/09/1823,12.451,0.878
01/10/1823,8.721,0.921
01/11/1823,5.101,0.928
01/12/1823,2.79,0.827
01/01/1824,2.175,0.958
01/02/1824,2.882,0.907
01/03/1824,5.312,0.998
01/04/1824,8.956,1.012
01/05/1824,12.586,1.028
01/06/1824,15.256,0.857
01/07/1824,16.274,0.876
01/08/1824,16.052,1.026
01/09/1824,12.566,0.959
01/10/1824,8.805,0.963
01/11/1824,4.94,1.021
01/12/1824,2.577,0.964
01/01/1825,2.31,0.874
01/02/1825,2.764,0.954
01/03/1825,5.392,0.829
01/04/1825,9.07,0.876
01/05/1825,12.612,0.928
01/06/1825,15.405,0.905
01/07/1825,16.413,0.846
01/08/1825,16.027,0.959
01/09/1825,12.677,1.05
01/10/1825,8.675,0.939
01/11/1825,4.971,0.879
01/12/1825,2.641,0.913
01/01/1826,2.346,0.792
01/02/1826,2.977,0.824
01/03/1826,5.463,0.916
01/04/1826,8.756,0.914
01/05/1826,12.49,1.0
01/06/1826,15.125,0.912
01/07/1826,16.365,0.98
01/08/1826,15.954,0.863
01/09/1826,12.716,0.832
01/10/1826,8.987,0.904
01/11/1826,5.03,0.927
01/12/1826,2.435,0.818
01/01/1827,2.398,0.986
01/02/1827,3.078,0.872
01/03/1827,5.357,0.96
01/04/1827,9.01,0.917
01/05/1827,12.597,0.988
01/06/1827,15.238,0.968
01/07/1827,16.206,0.892
01/08/1827,16.379,0.867
01/09/1827,12.794,1.028
01/10/1827,8.724,0.974
01/11/1827,5.06,0.927
01/12/1827,2.86,0.868
01/01/1828,2.203,0.811
01/02/1828,2.779,0.805
01/03/1828,5.366,0.785
01/04/1828,9.123,0.858
01/05/1828,12.515,0.851
01/06/1828,15.391,0.946
01/07/1828,16.321,0.985
01/08/1828,16.036,1.016
01/09/1828,12.721,1.011
01/10/1828,8.796,0.966
01/11/1828,5.372,0.987
01/12/1828,2.461,0.802
01/01/1829,2.307,0.938
01/02/1829,2.879,0.967
01/03/1829,5.359,0.882
01/04/1829,8.867,0.904
01/05/1829,12.532,0.873
01/06/1829,15.37,0.918
01/07/1829,16.385,0.889
01/08/1829,15.91,0.83
01/09/1829,12.853,0.998
01/10/1829,8.802,0.842
01/11/1829,5.253,0.943
01/12/1829,2.65,0.943
01/01/1830,2.078,0.84
01/02/1830,2.995,0.766
