dt,AverageTemperature,City
1983-04-01,18.828,Sydney
1983-04-01,6.293,Moscow
1983-04-01,30.065,Mumbai
1983-05-01,19.926,Rome
1983-05-01,19.779,Tokyo
1983-05-01,17.511,New York
1983-05-01,15.293,Sydney
1983-05-01,13.443,Moscow
1983-05-01,31.114,Mumbai
1983-06-01,24.102,Rome
1983-06-01,23.314,Tokyo
1983-06-01,22.64,New York
1983-06-01,12.848,Sydney
1983-06-01,17.549,Moscow
1983-06-01,28.92,Mumbai
1983-07-01,26.107,Rome
1983-07-01,27.122,Tokyo
1983-07-01,25.597,New York
1983-07-01,11.943,Sydney
1983-07-01,20.444,Moscow
1983-07-01,27.651,Mumbai
1983-08-01,26.841,Rome
1983-08-01,28.211,Tokyo
1983-08-01,24.959,New York
1983-08-01,13.304,Sydney
1983-08-01,18.661,Moscow
1983-08-01,26.837,Mumbai
1983-09-01,,Rome
1983-09-01,23.978,Tokyo
1983-09-01,20.101,New York
1983-09-01,15.725,Sydney
1983-09-01,12.357,Moscow
1983-09-01,27.803,Mumbai
1983-10-01,17.116,Rome
1983-10-01,18.244,Tokyo
1983-10-01,13.8,New York
1983-10-01,18.486,Sydney
1983-10-01,5.022,Moscow
1983-10-01,29.583,Mumbai
1983-11-01,11.897,Rome
1983-11-01,12.389,Tokyo
1983-11-01,7.9,New York
1983-11-01,20.221,Sydney
1983-11-01,-2.323,Moscow
1983-11-01,27.072,Mumbai
1983-12-01,,Rome
1983-12-01,7.858,Tokyo
1983-12-01,1.97,New York
1983-12-01,22.303,Sydney
1983-12-01,-7.746,Moscow
1983-12-01,25.341,Mumbai
1984-01-01,7.16,Rome
1984-01-01,5.468,Tokyo
1984-01-01,,New York
1984-01-01,22.553,Sydney
1984-01-01,-9.076,Moscow
1984-01-01,24.226,Mumbai
1984-02-01,8.029,Rome
1984-02-01,5.757,Tokyo
1984-02-01,1.8,New York
1984-02-01,22.433,Sydney
1984-02-01,-8.176,Moscow
1984-02-01,24.621,Mumbai
1984-03-01,11.32,Rome
1984-03-01,9.578,Tokyo
1984-03-01,5.582,New York
1984-03-01,21.18,Sydney
1984-03-01,-2.778,Moscow
1984-03-01,27.931,Mumbai
1984-04-01,15.278,Rome
1984-04-01,15.035,Tokyo
1984-04-01,11.874,New York
1984-04-01,18.663,Sydney
1984-04-01,6.089,Moscow
1984-04-01,30.537,Mumbai
1984-05-01,18.938,Rome
1984-05-01,18.525,Tokyo
1984-05-01,17.189,New York
1984-05-01,14.825,Sydney
1984-05-01,13.298,Moscow
1984-05-01,31.224,Mumbai
1984-06-01,23.53,Rome
1984-06-01,23.179,Tokyo
1984-06-01,22.299,New York
1984-06-01,13.387,Sydney
1984-06-01,17.606,Moscow
1984-06-01,29.16,Mumbai
1984-07-01,26.543,Rome
1984-07-01,,Tokyo
1984-07-01,25.852,New York
1984-07-01,12.63,Sydney
1984-07-01,20.011,Moscow
1984-07-01,27.569,Mumbai
1984-08-01,25.844,Rome
1984-08-01,28.859,Tokyo
1984-08-01,24.724,New York
1984-08-01,12.683,Sydney
1984-08-01,18.47,Moscow
1984-08-01,,Mumbai
1984-09-01,22.477,Rome
1984-09-01,24.231,Tokyo
1984-09-01,20.688,New York
1984-09-01,15.671,Sydney
1984-09-01,12.421,Moscow
1984-09-01,,Mumbai
1984-10-01,,Rome
1984-10-01,,Tokyo
1984-10-01,13.384,New York
1984-10-01,18.01,Sydney
1984-10-01,5.226,Moscow
1984-10-01,28.893,Mumbai
1984-11-01,12.374,Rome
1984-11-01,,Tokyo
1984-11-01,8.126,New York
1984-11-01,19.827,Sydney
1984-11-01,-2.123,Moscow
1984-11-01,26.992,Mumbai
1984-12-01,7.923,Rome
1984-12-01,7.458,Tokyo
1984-12-01,2.359,New York
1984-12-01,22.164,Sydney
1984-12-01,-7.404,Moscow
1984-12-01,24.752,Mumbai
1985-01-01,7.262,Rome
1985-01-01,5.22,Tokyo
1985-01-01,0.164,New York
1985-01-01,23.175,Sydney
1985-01-01,-9.252,Moscow
1985-01-01,24.303,Mumbai
1985-02-01,8.476,Rome
1985-02-01,6.54,Tokyo
1985-02-01,1.546,New York
1985-02-01,22.923,Sydney
1985-02-01,,Moscow
1985-02-01,24.79,Mumbai
1985-03-01,11.124,Rome
1985-03-01,9.813,Tokyo
1985-03-01,6.183,New York
1985-03-01,21.013,Sydney
1985-03-01,-2.778,Moscow
1985-03-01,,Mumbai
1985-04-01,14.719,Rome
1985-04-01,14.711,Tokyo
1985-04-01,11.986,New York
1985-04-01,18.782,Sydney
1985-04-01,6.468,Moscow
1985-04-01,30.317,Mumbai
1985-05-01,19.552,Rome
1985-05-01,20.075,Tokyo
1985-05-01,17.895,New York
1985-05-01,15.156,Sydney
1985-05-01,13.698,Moscow
1985-05-01,31.045,Mumbai
1985-06-01,23.455,Rome
1985-06-01,22.758,Tokyo
1985-06-01,22.902,New York
1985-06-01,13.135,Sydney
1985-06-01,17.741,Moscow
1985-06-01,28.855,Mumbai
1985-07-01,25.783,Rome
1985-07-01,26.831,Tokyo
1985-07-01,25.745,New York
1985-07-01,11.785,Sydney
1985-07-01,19.714,Moscow
1985-07-01,27.902,Mumbai
1985-08-01,,Rome
1985-08-01,28.685,Tokyo
1985-08-01,24.769,New York
1985-08-01,12.689,Sydney
1985-08-01,18.347,Moscow
1985-08-01,27.01,Mumbai
1985-09-01,22.072,Rome
1985-09-01,24.268,Tokyo
1985-09-01,20.651,New York
1985-09-01,15.884,Sydney
1985-09-01,12.291,Moscow
1985-09-01,27.972,Mumbai
1985-10-01,,Rome
1985-10-01,18.524,Tokyo
1985-10-01,14.006,New York
1985-10-01,18.131,Sydney
1985-10-01,5.202,Moscow
1985-10-01,29.311,Mumbai
1985-11-01,12.183,Rome
1985-11-01,11.742,Tokyo
1985-11-01,8.185,New York
1985-11-01,20.049,Sydney
1985-11-01,-1.849,Moscow
1985-11-01,27.59,Mumbai
1985-12-01,7.908,Rome
1985-12-01,,Tokyo
1985-12-01,,New York
1985-12-01,21.833,Sydney
1985-12-01,-6.78,Moscow
1985-12-01,25.415,Mumbai
1986-01-01,7.697,Rome
1986-01-01,5.078,Tokyo
1986-01-01,,New York
1986-01-01,22.709,Sydney
1986-01-01,-8.906,Moscow
1986-01-01,24.161,Mumbai
1986-02-01,7.858,Rome
1986-02-01,5.817,Tokyo
1986-02-01,1.259,New York
1986-02-01,22.465,Sydney
1986-02-01,-8.041,Moscow
1986-02-01,24.829,Mumbai
1986-03-01,11.158,Rome
1986-03-01,9.531,Tokyo
1986-03-01,6.111,New York
1986-03-01,21.389,Sydney
1986-03-01,-2.995,Moscow
1986-03-01,,Mumbai
1986-04-01,14.976,Rome
1986-04-01,15.111,Tokyo
1986-04-01,12.274,New York
1986-04-01,18.216,Sydney
1986-04-01,,Moscow
1986-04-01,,Mumbai
1986-05-01,,Rome
1986-05-01,19.187,Tokyo
1986-05-01,17.51,New York
1986-05-01,15.275,Sydney
1986-05-01,13.751,Moscow
1986-05-01,31.156,Mumbai
1986-06-01,23.651,Rome
1986-06-01,23.082,Tokyo
1986-06-01,23.072,New York
1986-06-01,12.767,Sydney
1986-06-01,17.999,Moscow
1986-06-01,29.225,Mumbai
1986-07-01,25.984,Rome
1986-07-01,27.042,Tokyo
1986-07-01,26.247,New York
1986-07-01,12.063,Sydney
1986-07-01,20.686,Moscow
1986-07-01,28.055,Mumbai
1986-08-01,25.323,Rome
1986-08-01,28.14,Tokyo
1986-08-01,24.732,New York
1986-08-01,13.11,Sydney
1986-08-01,,Moscow
1986-08-01,27.767,Mumbai
1986-09-01,,Rome
1986-09-01,24.399,Tokyo
1986-09-01,20.445,New York
1986-09-01,16.052,Sydney
1986-09-01,11.86,Moscow
1986-09-01,27.82,Mumbai
1986-10-01,17.051,Rome
1986-10-01,17.528,Tokyo
1986-10-01,14.046,New York
1986-10-01,18.251,Sydney
1986-10-01,,Moscow
1986-10-01,29.074,Mumbai
1986-11-01,11.63,Rome
1986-11-01,12.365,Tokyo
1986-11-01,8.447,New York
1986-11-01,20.571,Sydney
1986-11-01,-1.674,Moscow
1986-11-01,27.262,Mumbai
1986-12-01,8.245,Rome
1986-12-01,7.465,Tokyo
1986-12-01,,New York
1986-12-01,22.266,Sydney
1986-12-01,-7.407,Moscow
1986-12-01,25.032,Mumbai
1987-01-01,6.936,Rome
1987-01-01,4.981,Tokyo
1987-01-01,-0.057,New York
1987-01-01,22.748,Sydney
1987-01-01,-9.114,Moscow
1987-01-01,23.525,Mumbai
1987-02-01,8.443,Rome
1987-02-01,6.114,Tokyo
1987-02-01,1.009,New York
1987-02-01,22.896,Sydney
1987-02-01,-8.312,Moscow
1987-02-01,25.015,Mumbai
1987-03-01,11.195,Rome
1987-03-01,9.491,Tokyo
1987-03-01,5.958,New York
1987-03-01,21.597,Sydney
1987-03-01,,Moscow
1987-03-01,27.024,Mumbai
1987-04-01,14.903,Rome
1987-04-01,15.065,Tokyo
1987-04-01,11.663,New York
1987-04-01,18.981,Sydney
1987-04-01,6.21,Moscow
1987-04-01,29.723,Mumbai
1987-05-01,19.266,Rome
1987-05-01,19.299,Tokyo
1987-05-01,17.676,New York
1987-05-01,15.476,Sydney
1987-05-01,13.674,Moscow
1987-05-01,31.182,Mumbai
1987-06-01,23.364,Rome
1987-06-01,22.872,Tokyo
1987-06-01,,New York
1987-06-01,12.914,Sydney
1987-06-01,17.487,Moscow
1987-06-01,28.929,Mumbai
1987-07-01,26.436,Rome
1987-07-01,27.084,Tokyo
1987-07-01,,New York
1987-07-01,12.131,Sydney
1987-07-01,19.953,Moscow
1987-07-01,27.307,Mumbai
1987-08-01,25.585,Rome
1987-08-01,28.841,Tokyo
1987-08-01,25.031,New York
1987-08-01,13.207,Sydney
1987-08-01,18.318,Moscow
1987-08-01,27.408,Mumbai
1987-09-01,22.111,Rome
1987-09-01,24.187,Tokyo
1987-09-01,20.322,New York
1987-09-01,16.282,Sydney
1987-09-01,12.469,Moscow
1987-09-01,27.655,Mumbai
1987-10-01,17.357,Rome
1987-10-01,17.641,Tokyo
1987-10-01,13.799,New York
1987-10-01,18.338,Sydney
1987-10-01,4.758,Moscow
1987-10-01,29.161,Mumbai
1987-11-01,12.4,Rome
1987-11-01,12.796,Tokyo
1987-11-01,8.352,New York
1987-11-01,20.648,Sydney
1987-11-01,,Moscow
1987-11-01,27.152,Mumbai
1987-12-01,8.398,Rome
1987-12-01,6.758,Tokyo
1987-12-01,2.074,New York
1987-12-01,21.736,Sydney
1987-12-01,-7.138,Moscow
1987-12-01,25.0,Mumbai
1988-01-01,7.61,Rome
1988-01-01,,Tokyo
1988-01-01,0.302,New York
1988-01-01,23.274,Sydney
1988-01-01,-8.816,Moscow
1988-01-01,23.962,Mumbai
1988-02-01,8.061,Rome
1988-02-01,6.235,Tokyo
1988-02-01,,New York
1988-02-01,22.625,Sydney
1988-02-01,-7.546,Moscow
1988-02-01,24.752,Mumbai
1988-03-01,11.721,Rome
1988-03-01,9.39,Tokyo
1988-03-01,5.544,New York
1988-03-01,21.329,Sydney
1988-03-01,-2.989,Moscow
1988-03-01,27.319,Mumbai
1988-04-01,14.877,Rome
1988-04-01,14.901,Tokyo
1988-04-01,12.172,New York
1988-04-01,18.308,Sydney
1988-04-01,6.11,Moscow
1988-04-01,29.985,Mumbai
1988-05-01,19.391,Rome
1988-05-01,18.956,Tokyo
1988-05-01,17.491,New York
1988-05-01,15.463,Sydney
1988-05-01,13.217,Moscow
1988-05-01,31.147,Mumbai
1988-06-01,23.65,Rome
1988-06-01,22.827,Tokyo
1988-06-01,22.893,New York
1988-06-01,12.494,Sydney
1988-06-01,,Moscow
1988-06-01,28.986,Mumbai
1988-07-01,26.014,Rome
1988-07-01,27.181,Tokyo
1988-07-01,25.782,New York
1988-07-01,12.257,Sydney
1988-07-01,21.109,Moscow
1988-07-01,26.87,Mumbai
1988-08-01,,Rome
1988-08-01,28.19,Tokyo
1988-08-01,25.265,New York
1988-08-01,13.329,Sydney
1988-08-01,18.646,Moscow
1988-08-01,27.325,Mumbai
1988-09-01,21.945,Rome
1988-09-01,24.61,Tokyo
1988-09-01,20.621,New York
1988-09-01,16.193,Sydney
1988-09-01,12.514,Moscow
1988-09-01,28.452,Mumbai
1988-10-01,17.057,Rome
1988-10-01,18.045,Tokyo
1988-10-01,14.189,New York
1988-10-01,18.308,Sydney
1988-10-01,4.352,Moscow
1988-10-01,29.679,Mumbai
1988-11-01,12.082,Rome
1988-11-01,12.462,Tokyo
1988-11-01,7.475,New York
1988-11-01,19.892,Sydney
1988-11-01,-1.356,Moscow
1988-11-01,27.607,Mumbai
1988-12-01,8.426,Rome
1988-12-01,7.078,Tokyo
1988-12-01,2.208,New York
1988-12-01,22.495,Sydney
1988-12-01,-7.471,Moscow
1988-12-01,25.466,Mumbai
1989-01-01,7.236,Rome
1989-01-01,5.572,Tokyo
1989-01-01,0.023,New York
1989-01-01,22.64,Sydney
1989-01-01,-9.25,Moscow
1989-01-01,24.006,Mumbai
1989-02-01,8.573,Rome
1989-02-01,5.755,Tokyo
1989-02-01,1.14,New York
1989-02-01,,Sydney
1989-02-01,-8.148,Moscow
1989-02-01,25.206,Mumbai
1989-03-01,11.326,Rome
1989-03-01,9.24,Tokyo
1989-03-01,5.73,New York
1989-03-01,21.178,Sydney
1989-03-01,-2.265,Moscow
1989-03-01,27.337,Mumbai
1989-04-01,14.951,Rome
1989-04-01,15.19,Tokyo
1989-04-01,12.288,New York
1989-04-01,18.62,Sydney
1989-04-01,6.442,Moscow
1989-04-01,29.778,Mumbai
1989-05-01,19.535,Rome
1989-05-01,19.72,Tokyo
1989-05-01,,New York
1989-05-01,,Sydney
1989-05-01,13.519,Moscow
1989-05-01,31.623,Mumbai
1989-06-01,23.643,Rome
1989-06-01,23.51,Tokyo
1989-06-01,22.845,New York
1989-06-01,12.844,Sydney
1989-06-01,,Moscow
1989-06-01,28.918,Mumbai
1989-07-01,25.976,Rome
1989-07-01,27.389,Tokyo
1989-07-01,25.876,New York
1989-07-01,11.985,Sydney
1989-07-01,20.013,Moscow
1989-07-01,27.75,Mumbai
1989-08-01,26.151,Rome
1989-08-01,28.668,Tokyo
1989-08-01,24.704,New York
1989-08-01,12.944,Sydney
1989-08-01,18.318,Moscow
1989-08-01,26.96,Mumbai
1989-09-01,22.143,Rome
1989-09-01,23.949,Tokyo
1989-09-01,20.653,New York
1989-09-01,15.855,Sydney
1989-09-01,12.678,Moscow
1989-09-01,28.014,Mumbai
1989-10-01,17.09,Rome
1989-10-01,18.349,Tokyo
1989-10-01,14.242,New York
1989-10-01,18.496,Sydney
1989-10-01,5.056,Moscow
1989-10-01,29.699,Mumbai
1989-11-01,12.062,Rome
1989-11-01,12.373,Tokyo
1989-11-01,,New York
1989-11-01,20.186,Sydney
1989-11-01,-2.126,Moscow
1989-11-01,27.662,Mumbai
1989-12-01,8.303,Rome
1989-12-01,7.2,Tokyo
1989-12-01,2.728,New York
1989-12-01,21.991,Sydney
1989-12-01,,Moscow
1989-12-01,25.265,Mumbai
1990-01-01,7.076,Rome
1990-01-01,5.19,Tokyo
1990-01-01,0.789,New York
1990-01-01,,Sydney
1990-01-01,-8.902,Moscow
1990-01-01,24.38,Mumbai
1990-02-01,9.187,Rome
1990-02-01,5.722,Tokyo
1990-02-01,0.985,New York
1990-02-01,23.066,Sydney
1990-02-01,-7.605,Moscow
1990-02-01,25.182,Mumbai
1990-03-01,11.572,Rome
1990-03-01,9.722,Tokyo
1990-03-01,5.842,New York
1990-03-01,21.373,Sydney
1990-03-01,-2.827,Moscow
1990-03-01,27.721,Mumbai
1990-04-01,14.751,Rome
1990-04-01,14.829,Tokyo
1990-04-01,12.399,New York
1990-04-01,18.526,Sydney
1990-04-01,6.649,Moscow
1990-04-01,29.728,Mumbai
1990-05-01,19.448,Rome
1990-05-01,,Tokyo
1990-05-01,,New York
1990-05-01,15.354,Sydney
1990-05-01,13.188,Moscow
1990-05-01,31.101,Mumbai
1990-06-01,23.506,Rome
1990-06-01,23.007,Tokyo
1990-06-01,22.496,New York
1990-06-01,,Sydney
1990-06-01,17.487,Moscow
1990-06-01,29.427,Mumbai
1990-07-01,26.306,Rome
1990-07-01,,Tokyo
1990-07-01,25.897,New York
1990-07-01,11.796,Sydney
1990-07-01,20.356,Moscow
1990-07-01,27.44,Mumbai
1990-08-01,,Rome
1990-08-01,28.513,Tokyo
1990-08-01,24.703,New York
1990-08-01,12.873,Sydney
1990-08-01,18.681,Moscow
1990-08-01,27.479,Mumbai
1990-09-01,22.443,Rome
1990-09-01,24.809,Tokyo
1990-09-01,20.004,New York
1990-09-01,16.227,Sydney
1990-09-01,12.423,Moscow
1990-09-01,27.955,Mumbai
1990-10-01,17.513,Rome
1990-10-01,,Tokyo
1990-10-01,14.294,New York
1990-10-01,18.287,Sydney
1990-10-01,4.791,Moscow
1990-10-01,,Mumbai
1990-11-01,,Rome
1990-11-01,12.822,Tokyo
1990-11-01,8.061,New York
1990-11-01,20.136,Sydney
1990-11-01,-2.146,Moscow
1990-11-01,26.549,Mumbai
1990-12-01,8.159,Rome
1990-12-01,7.836,Tokyo
1990-12-01,,New York
1990-12-01,21.847,Sydney
1990-12-01,,Moscow
1990-12-01,25.291,Mumbai
1991-01-01,7.072,Rome
1991-01-01,5.297,Tokyo
1991-01-01,-0.019,New York
1991-01-01,23.089,Sydney
1991-01-01,-9.372,Moscow
1991-01-01,24.728,Mumbai
1991-02-01,8.782,Rome
1991-02-01,5.877,Tokyo
1991-02-01,2.045,New York
1991-02-01,22.366,Sydney
1991-02-01,-8.189,Moscow
1991-02-01,24.926,Mumbai
1991-03-01,,Rome
1991-03-01,9.821,Tokyo
1991-03-01,6.021,New York
1991-03-01,21.448,Sydney
1991-03-01,-2.339,Moscow
1991-03-01,,Mumbai
1991-04-01,15.019,Rome
1991-04-01,15.087,Tokyo
1991-04-01,11.842,New York
1991-04-01,18.586,Sydney
1991-04-01,6.422,Moscow
1991-04-01,29.751,Mumbai
1991-05-01,19.829,Rome
1991-05-01,18.979,Tokyo
1991-05-01,17.685,New York
1991-05-01,14.763,Sydney
1991-05-01,13.578,Moscow
1991-05-01,31.599,Mumbai
1991-06-01,,Rome
1991-06-01,23.121,Tokyo
1991-06-01,22.608,New York
1991-06-01,12.771,Sydney
1991-06-01,18.016,Moscow
1991-06-01,29.182,Mumbai
1991-07-01,25.903,Rome
1991-07-01,27.379,Tokyo
1991-07-01,25.396,New York
1991-07-01,12.222,Sydney
1991-07-01,20.361,Moscow
1991-07-01,27.359,Mumbai
1991-08-01,26.036,Rome
1991-08-01,28.391,Tokyo
1991-08-01,25.074,New York
1991-08-01,13.339,Sydney
1991-08-01,18.647,Moscow
1991-08-01,27.142,Mumbai
1991-09-01,21.871,Rome
1991-09-01,24.46,Tokyo
1991-09-01,,New York
1991-09-01,15.918,Sydney
1991-09-01,12.797,Moscow
1991-09-01,28.053,Mumbai
1991-10-01,16.582,Rome
1991-10-01,18.519,Tokyo
1991-10-01,13.826,New York
1991-10-01,18.046,Sydney
1991-10-01,,Moscow
1991-10-01,29.44,Mumbai
1991-11-01,12.281,Rome
1991-11-01,12.032,Tokyo
1991-11-01,7.845,New York
1991-11-01,21.124,Sydney
1991-11-01,-1.845,Moscow
1991-11-01,27.075,Mumbai
1991-12-01,8.82,Rome
1991-12-01,,Tokyo
1991-12-01,2.543,New York
1991-12-01,,Sydney
1991-12-01,-6.931,Moscow
1991-12-01,24.844,Mumbai
1992-01-01,7.173,Rome
1992-01-01,5.307,Tokyo
1992-01-01,0.2,New York
1992-01-01,23.544,Sydney
1992-01-01,-9.076,Moscow
1992-01-01,23.809,Mumbai
1992-02-01,8.772,Rome
1992-02-01,6.074,Tokyo
1992-02-01,1.214,New York
1992-02-01,22.88,Sydney
1992-02-01,-7.754,Moscow
1992-02-01,,Mumbai
1992-03-01,12.264,Rome
1992-03-01,8.888,Tokyo
1992-03-01,5.666,New York
1992-03-01,21.472,Sydney
1992-03-01,-2.533,Moscow
1992-03-01,27.745,Mumbai
1992-04-01,15.071,Rome
1992-04-01,14.95,Tokyo
1992-04-01,12.081,New York
1992-04-01,18.924,Sydney
1992-04-01,6.797,Moscow
1992-04-01,29.875,Mumbai
1992-05-01,,Rome
1992-05-01,19.228,Tokyo
1992-05-01,17.931,New York
1992-05-01,15.473,Sydney
1992-05-01,14.029,Moscow
1992-05-01,31.336,Mumbai
